postid,tags,title,question,answers,Related
213,issue,Did you forget to push tags to GH repository?,Did you forget to push tags to GH repository Please push tags for versions on to GitHub at least for latest rc Thank you in advance,Damn Yeah I forgot about tags On Fri Oct at PM Zeke Fast notificationsPlease push tags for versions on to GitHub at least for latest rc Thank you in advance Reply to this email directly or view it on GitHub You can just use option with when pushing on GH Do you know what s the easiest way to find sha for releases Do you mean having code find sha for it I think it s impossible exactly determine the commit by code because even same code committed on different time has different hashes If you have no tags for previous releases and I m the only who notice that I d suggest don t bothering with tagging and just pay attention to this in future or use to find commit sure and tag it sure if you have sing of release like version bump in files or release notes I always tag releases I forgot this time because it was a pre release and I was in rush On Sun Oct at PM Zeke Fast notifications Do you mean having code find sha for it I think it s impossible exactly determine the commit by code because even same code committed on different time has different hashes If you have no tags for previous releases and I m the only who notice that I d suggest don t bothering with tagging and just pay attention to this in future or use to find commit sure and tag it sure if you have sing of release like version bump in files or release notes Reply to this email directly or view it on GitHub I try to use but I forget the switch sometimes I wish it was the default or there was a way to configure it to be the default Lets move this to devtools oh right good call Yeah that wouldn t be so bad I guess using an alias will deal with a lot of the pain though I don t use what does it do exactly It s this thing I ditched jeweler for this and I really like it Yeah it s a nice single purpose library It adds the release command to gem With the switch it will add a version tag at the same time it pushes to rubygems I just recalled I used to use it and then I stopped not sure why Seems like just tagging the shas where the version was bumped would do it I m closing this issue now If you need access to these tags for any reason please let me know otherwise I m going to leave it be since has been released Since was released this is Okay Thanks,No
46686,issue,salt.states.file.touch should have user parameter,salt states file touch should have user parameter Description of Issue Question The salt states file touch should have user parameter to specify owner of the created file,Thanks for the report This would be a good feature to include Might this case be better off using and empty rather than expanding out This issue has been automatically marked as stale because it has not had recent activity It will be closed if no further activity occurs Thank you for your contributions If this issue is closed prematurely please leave a comment and we will gladly reopen the issue Thank you for updating this issue It is no longer marked as stale,No
5700,pr,Store JWT in authentication object,Store JWT in authentication object Please make sure the below checklist is followed for Pull Requests x Travis are green x Tests are added where necessary x Coding Rules Commit Guidelines as per our CONTRIBUTING md are followed This is especially useful for aggregate micro services where you want to relay the token to downstream services,what is the use case for having access to the token For me that s adding overhead to each thread as it s stored in thread local and I don t understand the need it is useful when you want to relay the token from a micro service to another Typically when you aggregate micro services Suppose user calls MS A which in turns calls MS B you want to have the token used for the call to A to be used by A to call B See for the way to do it with OAuth But we also need something equivalent for JWT Oh yes I totally agree,Yes
1245,pr,Resolve static analyzer warning about 'Potential leak of an object stored into 'dataProvider'',Resolve static analyzer warning about Potential leak of an object stored into dataProvider Resolved in this manner in an attempt to remain in the spirit of how the code was originally written,Looks like applies the same patch Thanks all the same Ah didn t see Glad it s resolved,Yes
657,pr,add case-sensitive login tests,add case sensitive login tests Specifying a case sensitive field for testing which should help with and,Looks like this is failing in MySQL and passing in PostgreSQL and SQLite which is correct Looks like this is failing in MySQL and passing in PostgreSQL and SQLite which is correct Great I don t want to merge a failing test into master though Can you please combine this into your other PR I ve combined into the other PR so you can feel free to close here I d love your input on and then we can work toward a merge once we re good on that I ve combined into the other PR so you can feel free to close here Closing thanks I d love your input on and then we can work toward a merge once we re good on that I ll take a look,Yes
8974,pr,Allow to offload certificate validation when using BoringSSL,Allow to offload certificate validation when using BoringSSL Motivation BoringSSL supports offloading certificate validation to a different thread This is useful as it may need to do blocking operations and so may block the EventLoop Modification Adjust ReferenceCountedOpenSslEngine to correctly handle offloaded certificate validation just as we already have code for certificate selection Result Be able to offload certificate validation when using BoringSSL,test this please Merging this as the original PR was approved before,Yes
6955,issue,Possible solution for error 65 (missing signature) for XCUITest @ real device,Possible solution for error missing signature for XCUITest real device Currently many people complain they cannot automate tests for real iOS devices using XCUITest driver because of this annoying error The error means that driver source cannot be signed properly and thus cannot be installed on real device even if the same action works as expected from Xcode on the same machine I spent some time investigating the problem and it looks like the main source of it is Accessibility restrictions in Mac OS because I see No user interaction is allowed error in Xcode logs This happens because the private key which the tool tries to use is stored in the system keychain and the parent process has no access to it And here is possible solution For now all that Appium does is just execution of xcodebuild with necessary arguments using Subprocess helper class My proposal is to change it the way that if we run not on a Simulator then a shell script will be executed instead of xcodebuild which includes the following commands The custom keychain should be prepared manually using the following commands MyPrivateKey p is my private development key exported from the system keychain I have tested it via SSH console because it s not reproducible if one just executes xcodebuild via local Terminal and it worked Please think about including that into the next Appium build Information source FYI,Interesting Thanks for this I will look into it First pass at this I am trying to pass these capabilities key chain path and keychainpassword but got this error any idea XCUITest Error Unable to launch WebDriverAgent because of xcodebuild failure Command security v unlock keychain p v Users Chanakya Desktop Certificates p exited with code Make sure you follow the tutorial at Try to remove the WebDriverAgentRunner application from the device if it is installed and reboot the device at XCUITestDriver quitAndUninstall usr local lib node modules appium node modules appium xcuitest driver lib driver js at tryCatch usr local lib node modules appium node modules babel runtime regenerator runtime js at GeneratorFunctionPrototype invoke as invoke usr local lib node modules appium node modules babel runtime regenerator runtime js at GeneratorFunctionPrototype prototype anonymous function as next usr local lib node modules appium node modules babel runtime regenerator runtime js at GeneratorFunctionPrototype invoke usr local lib node modules appium node modules babel runtime regenerator runtime js at at process tickCallback internal process next tick js Error Unable to launch WebDriverAgent because of xcodebuild failure Command security v unlock keychain p v Users Chanakya Desktop Certificates p exited with code Make sure you follow the tutorial at Try to remove the WebDriverAgentRunner application from the device if it is installed and reboot the device at XCUITestDriver quitAndUninstall usr local lib node modules appium node modules appium xcuitest driver lib driver js at tryCatch usr local lib node modules appium node modules babel runtime regenerator runtime js at GeneratorFunctionPrototype invoke as invoke usr local lib node modules appium node modules babel runtime regenerator runtime js at GeneratorFunctionPrototype prototype anonymous function as next usr local lib node modules appium node modules babel runtime regenerator runtime js at GeneratorFunctionPrototype invoke usr local lib node modules appium node modules babel runtime regenerator runtime js at at process tickCallback internal process next tick js debug XCUITest pgrep nif xcodebuild e fc d a a e cbbcb fe fb didn t detect any matching processes Return code debug XCUITest Cannot find xcodebuild s process id so unable to retrieve DerivedData folder path XCUITest No WebDriverAgent derived data available so unable to clear system files debug iOSLog Stopping iOS log capture MJSONWP Encountered internal error running command Error Unable to launch WebDriverAgent because of xcodebuild failure Command security v unlock keychain p v Users Chanakya Desktop Certificates p exited with code Make sure you follow the tutorial at Try to remove the WebDriverAgentRunner application from the device if it is installed and reboot the device at XCUITestDriver quitAndUninstall usr local lib node modules appium node modules appium xcuitest driver lib driver js at tryCatch usr local lib node modules appium node modules babel runtime regenerator runtime js at GeneratorFunctionPrototype invoke as invoke usr local lib node modules appium node modules babel runtime regenerator runtime js at GeneratorFunctionPrototype prototype anonymous function as next usr local lib node modules appium node modules babel runtime regenerator runtime js at GeneratorFunctionPrototype invoke usr local lib node modules appium node modules babel runtime regenerator runtime js at at process tickCallback internal process next tick js HTTP POST wd hub session ms What happens if you manually run the command I got the below error unlock keychain p v Users Chanakya Desktop Certificates p security SecKeychainUnlock Users Chanakya Desktop Certificates p The specified keychain is not a valid keychain file But i am able to build succeed in xcode with this key and in keychain Access it is displayed as valid and expires in may something fishy here my coworker also use exact same configuration inlcuding team id and certificates etc he was able to launch the native app but fails for me with code sign error Finally i was able to find the solution it was actually Apple certificates in key chain access which now i set to system default and previously it was in Always trust mode If anyone had valid code sign dev ids but get messed up with keychains then this is the core solution I tried this configuration but still facing same code sign issue Before i was able to proceed at least on when i do test though terminal with the below command everything is going though xcodebuild project WebDriverAgent xcodeproj scheme WebDriverAgentRunner destination id UDID test but still though jenkins not able to run more than devices,Unsure
1803,issue,即使使用dangerouslyPasteHTML也无法插入video标签。。。,dangerouslyPasteHTML video title title beause I want use private data value i can promise security in server how to insert an video,,Unsure
6970,pr,Use HTTPS to download root certificate in UpdateProjectProvisioningAction 🔒,Use HTTPS to download root certificate in UpdateProjectProvisioningAction This root certificate path is hardcoded to currently which is also available over HTTPS It s almost always better to fetch over HTTPS if available x Run from the subdirectory of each tool you modified Alternatively run from the root directory x Run to ensure the code style is valid x Read the Contribution x We currently don t accept new actions please publish a plugin instead more information in,This makes sense thanks for the PR Can this cause a problem if the certificate is not available locally yet This seems pretty straightforward to me Please ping me if there are concerns here I am missing Looks okay to me,Unsure
61364,pr,Support delegation testing collections with deps.,Support delegation testing collections with deps SUMMARY Support delegation testing collections with deps All collections in the same collection root as the collection being tested will be sent to the remote system container Resolves ISSUE TYPE Feature Pull Request COMPONENT NAME ansible test,,Yes
671,pr,Fixing social logins docs for RC1,Fixing social logins docs for RC Updated docs to reflect new package name for Secret Manager tidied up the text a little for readability,Hi I m your friendly neighborhood NET Foundation Pull Request Bot You can call me DNFBOT Thanks for your contribution In order for us to evaluate and accept your PR we ask that you sign a contribution license agreement It s all electronic and will take just minutes I promise there s no faxing TTYL DNFBOT Thanks for signing the contribution license agreement so quickly Actual humans will now validate the agreement and then evaluate the PR Thanks DNFBOT Thanks b b f daa a dd d,Unsure
10880,issue,Error getting certificate,Error getting certificate Hello developers and community I spent weeks trying to install Zulip on my server and nothing came of it I apologize in advance for my English translator use Here are some details about the server Ubuntu Server on Xen with real IP Installation is clean there are no services on the server for Zulip the whole virtual machine was allocated After installation has been configured FQDN Hostname f view chat nt ru Domain chat nt ru configured and has the correct A record in DNS with the server address UFW status is inactive No nginx or Apache installed I also checked that no one listened to the and ports before running the installation script Every time i m start zulip server scripts setup install certbot email admin hostname chat nt ru I get the same error Failed authorization procedure chat nt ru urn ietf params acme error unauthorized The client lacks sufficient authorization Invalid response from script NOTES The following errors were reported by the server Domain chat nt ru Type unauthorized Detail Invalid response from html class no js script To fix these errors please make sure that your domain name was entered correctly and the DNS A AAAA record s for that domain contain s the right IP address Zulip installation failed The install process is designed to be idempotent so you can retry after resolving whatever issue caused the failure there should be a traceback above A log of this installation is available in var log zulip install log Please help me to understand what could be the problem,Hello members this issue was labeled with the area production installer label so you may want to check it out sorry for the slow reply This appears to be a an issue with using certbot I recommend you use Google and or to get help with that For testing Zulip you can just use the option and then get a cert using Certbot not using our tool or any other way at your convenience,Yes
3822,issue,"calling web service (username, password credentials) from .net core 2.2 web api ",calling web service username password credentials from net core web api Describe the bug I am trying to consume a web service with WS Security defined schema to pass user name and password in clear text on HTTPS in dotnet core tried on as well But I am getting following error Invalid Authentication Username Password not found possible security namespace mismatch To Reproduce Call stack at System ServiceModel Channels ServiceChannel ThrowIfFaultUnderstood Message reply MessageFault fault String action MessageVersion version FaultConverter faultConverter at System ServiceModel Channels ServiceChannel HandleReply ProxyOperationRuntime operation ProxyRpc rpc at System ServiceModel Channels ServiceChannel Call String action Boolean oneway ProxyOperationRuntime operation Object ins Object outs TimeSpan timeout at System ServiceModel Channels ServiceChannelProxy InvokeService MethodCall methodCall ProxyOperationRuntime operation at System ServiceModel Channels ServiceChannelProxy Invoke MethodInfo targetMethod Object args End of stack trace from previous location where exception was thrown at System Reflection DispatchProxyGenerator Invoke Object args at generatedProxy ProcessMessage ProcessMessageRequest Expected behavior If we try to consume same service in Net Framwork it is working Screenshots If applicable add screenshots to help explain your problem Additional context Add any other context about the problem here,Thank you for reporting this issue We need additional information Which WCF Core packages are you using version Can you send us your binding information we need to know how you are using WCF The more client side code you can send us the better thanks for your response I am not using any WCF Core packages I am trying to invoke a rd party service using their WSDL Used Connected Services option to import WSDL The header for the request should be in following format soapenv Envelope soapenv mustUnderstand consume that service following is the my code BasicHttpBinding binding new BasicHttpBinding BasicHttpSecurityMode Transport binding Security Transport ClientCredentialType HttpClientCredentialType Basic ThirdParyService svc new ThirdParyService binding address svc ClientCredentials UserName UserName Username svc ClientCredentials UserName Password Password await svc InvokeMethod But looks like username password are not included in the request from dotnet core and the error says Invalid Authentication Username Password not found possible security namespace mismatch Note The same functionality is already implemented in Net Framework using custom binding But most of the classes used are not exists in dotnet core Following are few classes method used SymmetricSecurityBindingElement CreateSecureConversationBindingElement SecurityBindingElement CreateUserNameOverTransportBindingElement If I tried to follow same custom bindings I am getting following error System PlatformNotSupportedException TransportSecurityBindingElement BuildChannelFactoryCore is not supported I got the issue resolved with help of following interfaces classes MessageHeader IClientMessageInspector IEndpointBehavior Hi I am facing same issue Can you tell us what changes you have done in MessageHeader IClientMessageInspector IEndpointBehavior,Yes
3603,issue,syncbackpro@9.2.39.0: hash check failed,syncbackprohash check failed Checking hash of SyncBackPro Setup NI zip ERROR Hash check failed App extras syncbackpro URL bytes B Expected bd e dcc f d b e b ddfbe c f c a d bb Actual da c dc f a e f e cf e b d ef c aac e,,Yes
34925,issue,Wrong vaultname in the example for storing password in vault,Wrong vaultname in the example for storing password in vault Enter feedback here on this page the example shown to store examplepassword has the wrong vaultname Document Details Do not edit this section It is required for docs microsoft com GitHub issue linking ID f c a a e a b e Version Independent ID c d d ed d c a Content Azure Quickstart Set retrieve a secret from Key Vault using Content Source Service key vault GitHub Login Microsoft Alias barclayn,Thanks for your feedback We will investigate and update as appropriate The PR for the fix has been created and sent to the author for review It will be merged soon Thanks again for pointing this out I am closing the issue based on this update please let us know if there is something else that we can help you with,Yes
17922,pr,[3.8] bpo-25172: Reduce scope of crypt import tests (GH-17881),bpo Reduce scope of crypt import tests GH cherry picked from commit ed eeb c a a a fa e a f c Co authored by Steve Dower,Status check is done and it s a success Status check is done and it s a success Status check is done and it s a success,Unsure
1029,issue,Lottie .json files are not found when they are part of Assets.xcassets ,Lottie json files are not found when they are part of Assets xcassets Lottie iOS Issue Hello Sorry you re having an Issue Please help us make Lottie better by filling everything below out with as much information as you can so we can try to reproduce and fix the issue Check these before submitting X The issue doesn t involve an Unsupported X This issue isn t related to another open issue This issue is a Non Crashing Bug Visual or otherwise Crashing Bug Feature Request X Regression Something that once worked but doesn t work anymore Which Version of Lottie are you using Lottie What Platform are you on MacOS X iOS What Language are you in X Swift Objective C Expected Behavior Lottie files to be found when part of Assets xcassets Actual Behavior Lottie json files cannot be found when they are part of Assets xcassets They don t seem to be located as part of the main bundle This used to work when we were on version In order for the library to find the lottie json files I have to move them to a top level folder,I have same issue please fix it,Unsure
797,issue,Reader: add username autocompletion to comments,Reader add username autocompletion to comments Raised by Usernames with should,dupe of,No
17,pr,Add encrypt support with SQLCipher,Add encrypt support with SQLCipher add SQLCipher use FMDB SQLCipher in Demo with Cocoapods update document,Readme OK I will make a new podspec file for that version,Yes
90,issue,Re-assigning same shortcut triggers it,Re assigning same shortcut triggers it Say I have a hotkey set up with Cmd Ctrl T I focus into the shortcut view I change my mind and just want to assign the same thing so I press Cmd Ctrl T Expected behavior Cmd Ctrl T is assigned shortcut view blurs Actual behavior The shortcut is triggered before the shortcut view can intercept it Workaround would be to manually unbind on shortcut view and re bind after blur This is a regression since x,I think the easiest solution would be to unbind the shortcut automatically when the recording control gets focused By the way did you know that you can also return back to the previous shortcut by pressing escape I think the easiest solution would be to unbind the shortcut automatically when the recording control gets focused Probably yeah By the way did you know that you can also return back to the previous shortcut by pressing escape Yes,Unsure
697,issue,"""Open symbol by name"" not fuzzy matching",Open symbol by name not fuzzy matching Using the Open symbol by name feature in VSCode when fuzzy searching for a symbol with Microsoft Python Language Server enabled the list of symbols returns absolutely nothing In contrast when using Jedi I m getting results With Jedi off python Jedi on jedi for the symbol exactly works just fine,Currently the symbol index we ve implemented uses case insensitive substrings for matching so this is expected but stands to be improved Note that this only applies to workspace symbols which has a query string sent to the language server Document symbols and the outline have no query so VS Code is able to do the fuzzy matching itself over the result we return Hey any ETA on this This is the only thing holding me back from using this extension and it s a pretty big oversight Searching through symbols over a huge repository without fuzzy search is a huge PITA No specific ETA there are other things we re trying to improve and this hasn t been worked on It s not an oversight per se when I implemented the index I just did the minimum working implementation and knew fuzzy matching would be better To add this we ll have to go look at the fuzzy logic the extension uses when looking through its ctags database and do something similar This isn t a real solution but you can also use VS Code s builtin search tool which uses ripgrep under the hood and is very effective but of course will lack any Python specific info Ah it s a shame this isn t priority I will wait for the day it is added because the extension is quite good except for this one grievous oversight I m aware of the search tool but it s quite a bit unwieldy and doesn t fuzzy match I was following this one microsoft vscode but should have followed it here for this feature on this I m very much used to this from PyCharm so right now I basically have to choose between using pycharm and not being able to do proper remote development using vscode JEDI and not being able to autogenerate imports using vscode PLS and not being able to jump to symbols in a fuzzy way index I just did the minimum working implementation and knew fuzzy matching would be better We recommend minimal work from extensions and strongly suggest to simply search for all query characters in their order inside symbol strings We ll then do the rest our implemention of that for reference and Ah thanks Johannes I was wondering why the extension had to do the fuzzy matching Please Python Language Server team I hope this issue can be addressed soon On Wed Mar Johannes Rieken wrote index I just did the minimum working implementation and knew fuzzy matching would be better We recommend minimal work from extensions and strong suggest to simply search for all query characters in their order inside symbol strings We ll then do the rest our implemention of that for reference and copying export function isPatternInWord patternLow string patternPos number patternLen number wordLow string wordPos number wordLen number boolean while patternPos patternLen wordPos wordLen if patternLow patternPos wordLow wordPos patternPos wordPos return patternPos patternLen pattern must be exhausted You are receiving this because you authored the thread Reply to this email directly view it on GitHub or unsubscribe Yeah no fuzzy matching required only very relaxed filtering as described above and in fact with small ish results no filtering is required I think CamelHumps style matching is very useful For example I have classes named and Ideally I d like to find the former when searching for and the latter with I do agree I have described is more relaxed to ensure that VS Code will receive as much results as possible so that we can then filter and sort them which also includes camel hump logic YES thank you Works fine now Is there any way to specify that you want to search for an exact name btw For example I have hundreds of classes named so it s almost impossible to jump to the class named just atm I tried putting it in quotes or adding a regex style at the end but that didn t help Is there any way to specify that you want to search for an exact name btw Type the exact name it filters and scores based on the input text but scoring should put better matches atop So the closer the match the more to the top things should be I tried that Doesn t work for this particular name Is there a minimum length looks like or chars for this to work Hm should work with all length Are you trying this with latest insiders is currently reworking this and it might be a regression or feature request Fyi the new work is not yet enabled in insiders Yes latest insiders If someone wants to try to reproduce it is the codebase where it happens We have our own workspace symbol query limit internally to prevent sending back too many results It s possible is so small that we re not getting to the exact match or a perfect substring match before finding a fuzzy ish match and then it s not in the list I m not sure if the UI displays how many results it was given though Any chance the limit could be made configurable Or even better returning exact whole string matches before applying the limit Not finding some class that just contains a very vague search term is one thing but not finding the class that has this exact name is quite confusing I encountered the issue for another class as well and after finding many classes starting with I get results for other symbol types that aren t even exact at least in a case sensitive way matches I d sooner just make it match exact then substring then fuzzy then limit it without configuration but all of this is a pretty large nested structure in memory that we d have to scan multiple times Maybe that doesn t matter I ll spend a bit of time on it later has the aforementioned behavior If needed I can modify the substring check to be a prefix only in case the exact substring matches are so many that fuzzy stops being useful Or bump the limit if we think we can handle more than of these at a time Please don t match on prefixes but use this logic Then returning only elements seems very conservative should be no problem I am using that method it s what closed this issue See The follow up PR just prioritized exact and substring matches before hitting the limit If there s a limit at all then there s a chance the exact match never shows up if we re only fuzzy matching I ll see if bumping the limit seems sane but there are still other users for the language server than just VS Code I d prefer not to break Symbol values contain full paths it can turn into an incredible amount of data If the user s workspace has a path with characters and we send symbols that s at least half a megabyte of data just on path prefixes alone,Yes
611,issue,Common language runtime issue when injecting endjointpoint before the return instructions,Common language runtime issue when injecting endjointpoint before the return instructions Please provide the following information when submitting an issue where appropriate replace the with a My Framework X NET X NET X NET X NET X NET NET NET NET Core Something else My Environment Windows or below not truly supported due to EOL X Windows X Windows Windows Windows IoT Core Windows Server Windows Server R Windows Server I have already repeated the problem using the latest stable release of OpenCover reviewed the usage and usage have looked at the opencover output xml file in an attempt to resolve the issue reviewed the current to check that the issue isn t already known My issue is related to check only those which apply no coverage being recorded x or bit support feature request Expected Behavior When the method has try catch I m getting this problem End joint point will be the managed method call It should be called when the instrumented method call happen Actual Behavior Common language runtime found invalid program error Steps to reproduce the problem Create a method with try catch For example as follows I m using Method cpp class for injecting the end instruction before return instructions When injecting the endjoint point with last return instruction I m getting this error Note The method I m using InsertSequenceInstructionsAtOffset long offset InstructionList instructions Please let me know if need any clarifications,It looks like you are having problems with code you have taken from OpenCover to do your own custom instrumentation so you will need to describe more about what you are trying to do what the IL looks like before you instrument it what the IL you are trying to introduce does and what it looks like what the IL looks like after instrumentation Hi do you still need any help with this Sorry for the delay response My own custom instrumentation is like adding our managed method call reference into starting and ending of a method by IL injection Using your Method cpp methods I will read the IL instructions Then add my own start IL instructions at offset and end IL instructions at before return ret instructions Then using the SetILFunctionBody I ll rewrite the IL code Before the instrumentation the IL code for my method is method public hidebysig instance void GetSalaryTemp cil managed Method begins at RVA x e Code size x maxstack try IL ldarg IL call instance class System Web System Web HttpResponse System Web System Web UI Page get Response IL ldstr test test test GetSalaryTemp IL b callvirt instance void System Web System Web HttpResponse Write string IL leave s IL end try catch mscorlib System Object IL pop IL leave s IL end handler IL ret end of method Default GetSalaryTemp After instrumentation the IL code is as follows The following static methods are in C managed dll loaded in GAC The same method is working for bit process Getting Common Language Runtime detected an invalid program for bit process I suspect is there any pointer related issue Or What could be the reason when it is working for bit and not working for bit Thanks in advance What do the the exception handler entries look like after the IL has been inserted BEFORE INSTRUMENTATION IL ldarg IL call A DF IL ldstr D IL B callvirt A E IL leave IL B IL pop IL leave IL B IL B ret Section B Exception handler list AFTER INSTRUMENTATION IL ldarg Newly added ins IL ldstr B C Newly added ins IL ldstr B E Newly added ins IL B call A A Newly added ins IL ldarg IL call A DF IL ldstr D IL B callvirt A E IL leave IL B IL pop IL leave IL B IL B nop Newly added ins IL C call A B Newly added ins IL ret Section Exception handler list The line section is got from DumpIL method in method cpp file The syntax for Section handlerType tryStart tryEnd handlerStart handlerEnd filterStart m token Please assist me what will be the issue Okay I think the catch handler is incorrect I think it should be You may need to work with the code taken from OpenCover to get it to produce the IL you need Awesome It works Thanks a lot What did you do to change the code to make it work I have set the newly added instruction nop IL B to tryHandlerEnd instruction of the method Then it is solved Although I m getting Common language runtime error and JIT Compiler encountered an internal limitation for many framework Ex All methods in System Data SqlClient related methods For example the following method has the CLR Runtime found invalid program error Before instrumentation IL Code After Instrumentation IL Code and Original method has been given in a text files separately and uploaded Could you find any root cause on this I think this injection on return statements will not be feasible I have an idea like adding try finally block in all the methods and adding the new end method call instruction in finally block I think this can be possible via adding exception handler instruction in a method IL What about your thought on this Or Do you have any other idea to achieve this okay thanks for the feedback,Unsure
17917,issue,[wasm][http] Support for setting the credentials option on a per-request basis,wasm http Support for setting the credentials option on a per request basis The current version of Mono doesn t provide any per request way to set a credentials option The credentials option is always set to the value of the globally static DefaultCredentials property issue,I really don t like the per request part of this very much as it s inconsistent with the general design pattern where properties may only be modified prior to sending the first request Instead having global static there should be something similar to,Yes
1338,issue,Designing Swift APIs,Designing Swift APIs ,,No
919,issue,E-mail not displayed when there is a PGP signature in the quoted e-mail,E mail not displayed when there is a PGP signature in the quoted e mail I have this issue and cannot find any bugs closed or open here just on the old code google com website As I still have this issue I guess it was not fixed so I would like to report it here I have updated it with my device information What steps will reproduce the problem Using OpenKeychain and K Mail send a signed e mail to someone not using PGP Have them respond to your e mail with their client quoting the entire message K mail receives the message displays it for a moment then the signature is being analyized and from then on only the part below the beginning of the signature is being displayed i e the actual replay can t be displayed in K Mail What do you expect to have happen First of all K mail should not recognize the signature my signature in the quoted part as valid and tell me that the reply e mail is signed Second of all it should in any case also display the rest of the e mail the reply above the quoted e mail If I view the e mail in Thunderbird with the Enigmail addon everything is displayed correctly First the reply then the quote first the info part from to sent subject then the line BEGIN ENCRYPTED or SIGNED PART and then the content of my original e mail What do you see instead Only the quoted part aka my original e mail What version of K are you using version What is your device and what version of Android are you using HTC M Android version Is your email account a POP account Exchange Account or an IMAP account IMAP Original bug report,Seems to be the same as,Yes
6290,pr,added FIDO2 security keys,added FIDO security keys ,kindly do the copy editor review for this PR Thanks PR has been copy edited and is ready for final review This is based on issue Thank you cc Thank you for the interesting points I presume you will be commenting later if anything here can be reused rephrased or otherwise changed to provide some form of support as you noted I commented on the original issue to get more clarity from the poster I will provide an update based on their response on what should be added,Yes
9712,issue,connect to amazon rds over ssl in sequelize,connect to amazon rds over ssl in sequelize I am trying to connect to a mysql amazon RDS connection over ssl from sequelize my config looks like this I am getting a error Do I have to reference the in the or is enough Is there a way to get more logging as to what is going on,is enough For anyone else who comes here the phrase is referring to what needs to go within the section The other outside of does nothing,Yes
1791,issue,Flowplayer 7 issue while playing AES encrypted stream.,Flowplayer issue while playing AES encrypted stream Hi team Below is the reply from flow player support But the stream now throws the same error in JW and hls js namely the range error Additionally I do see a ts fragment format error which also indicates there is something wrong with the encryption of the ts fragments The stream also fails with a media decoding erro in VLC and other desktop players Please post an issue in the hls js bug tracker at or fine tune your encrypter until the stream plays in the demo player Bernd Backhaus Flowplayer Video player and hosting supportAB M ster Samuelsgatan SE Stockholm Sweden VAT ID SE Environment x The stream has correct Access Control Allow Origin headers CORS x There are no network errors such as s in the browser console when trying to play the stream x The issue observed is not already reported by searching on Github under x The issue occurs in the latest reference client on and not just on my page M u link Hls js version Browser name version Chrome Version Official Build bit OS name version Windows Steps to reproduce Url to visit Check network calls Check console for error Expected behavior Should play the stream without fail Actual behavior Getting stuck while playing in the start Console output,This issue has been automatically marked as stale because it has not had recent activity It will be closed if no further activity occurs Thank you for your contributions The same issue Maybe it s caused by FFMPEG x I never got this error before if using FFMPEG x,Yes
1665,issue,use spring session close listener for sending messages to audit and query,use spring session close listener for sending messages to audit and query We found that the activiti session close listener mechanism isn t guaranteed to fire when the spring session closes and might fire before the spring transaction has ended We found and fixed this under by moving to a native spring listener This is not so serious for audit and query feeds as it was for connectors as audit and query are one way But we should switch it anyway as otherwise there s a risk though we ve not actually observed it of sending a message for a transaction that actually gets rolled back Arguably we should change the engine s mechanism but that wouldn t be easy,This depends on the done in the PR That s merged now so I think we can close this,Yes
6746,pr,feat(docs): add gulp task to generate the svg asset cache,feat docs add gulp task to generate the svg asset cache Added Gulp Task for Asset Cache Updated also for Removed old Asset Cache Build Script Updated Asset Cache from the Gulp Task Can you take a look,I am not inclined to accept this PR the file is not a template so is not good this gulp task is fragile Often the definitions in the standalone SVG file need to be modified to be used in a icon set For example see and see its definition entry in the Wow I m surprised I missed a few point I can t detect any schema in the given SVG if there are always other things to modify we need to detect these elements Is there anything I need to know about modifying the SVG s About the template to be honest I don t know what template engine is preferred in this case Closing this PR as too fragile brittle and not related to our core efforts,Unsure
1114,issue,Cannot login via `exp start`,Cannot login via exp start exp version is tried with node and The error,My credentials work on the website and on the windows client My bad I was behind a proxy and I ve omited to turn on my VPN,Yes
42909,pr,Fix cloudflare_dns legacy test,Fix cloudflare dns legacy test SUMMARY Needed to reflect current expected behavior ISSUE TYPE Bugfix Pull Request COMPONENT NAME cloudflare dns ANSIBLE VERSION,cc,Unsure
196,pr,Read oauth2_state from ticket store every time to avoid invalid oauth2_state,Read oauth state from ticket store every time to avoid invalid oauth state oauth state read ticket store ticket,,Yes
